group,role,side,price_band,n_trades,n_contracts,avg_price,win_rate,avg_fee_per_contract,gross_mean_pp,gross_ci_low_pp,gross_ci_high_pp,net_mean_pp,net_se_pp,net_ci_low_pp,net_ci_high_pp,z_net
World Events,taker,no,"[0.05,0.20)",12260,1872182,0.10882707993474698,0.23042414355628058,0.010823817292006392,12.159706362153305,11.422136673235931,12.897276051070678,11.077324632952704,0.3761058029429645,10.340157259184494,11.814492006720915,29.45268205455621
World Events,maker,no,"[0.60,0.80)",23874,2320387,0.7094006031666266,0.8256680908100863,0.009999999999999887,11.626748764346146,11.152698005028148,12.100799523664147,10.626748764346122,0.2418626323051019,10.152698005028123,11.100799523664122,43.93712523123796
Science/Tech,maker,no,"[0.60,0.80)",13084,1074732,0.6981779272393759,0.8068633445429533,0.009999999999999915,10.868541730357693,10.183303700784545,11.55377975993084,9.868541730357675,0.34961123957813633,9.183303700784528,10.553779759930823,28.227186695329646
Media,taker,no,"[0.60,0.80)",29851,1518138,0.6937650329972196,0.8035911694750595,0.01999999999999994,10.982613647783994,10.532411241084182,11.432816054483807,8.982613647783992,0.22969510545908794,8.53241124108418,9.432816054483805,39.10668287785491
Media,maker,no,"[0.05,0.20)",25971,1594907,0.11548226868430174,0.20064687536097955,0.00999999999999998,8.516460667667786,8.035598766599431,8.997322568736143,7.516460667667784,0.24533770462671242,7.035598766599427,7.99732256873614,30.63720140002235
Entertainment,maker,no,"[0.40,0.60)",134599,9338087,0.4906068395753312,0.567715956284965,0.00999999999999991,7.710911670963361,7.4474616219477765,7.974361719978945,6.710911670963364,0.13441329031407387,6.447461621947779,6.9743617199789485,49.92744136597251
Science/Tech,maker,no,"[0.20,0.40)",17483,1621482,0.2897786421094778,0.36555511067894525,0.009999999999999887,7.577646856946766,6.86213098830054,8.29316272559299,6.577646856946773,0.3650591166562378,5.862130988300547,7.293162725592999,18.018032030523678
Media,taker,no,"[0.20,0.40)",25778,1232535,0.3011785243230661,0.3831561796881061,0.019999999999999945,8.197765536503997,7.612396869451358,8.783134203556637,6.197765536503998,0.2986574831901219,5.612396869451359,6.783134203556637,20.752085199079282
Media,maker,no,"[0.80,0.95)",33176,2083700,0.8658497106341934,0.9333554376657824,0.009999999999999945,6.750572703158911,6.482825119787908,7.018320286529914,5.750572703158907,0.13660590988316515,5.482825119787903,6.018320286529911,42.096075551029934
Entertainment,maker,no,"[0.20,0.40)",143232,10827910,0.2998225256925825,0.36624497319034854,0.009999999999999927,6.642244749776578,6.395378420734521,6.889111078818636,5.642244749776585,0.1259522086949272,5.395378420734527,5.889111078818641,44.79671145301502
Science/Tech,maker,no,"[0.40,0.60)",15922,1275740,0.4911568898379597,0.5569023991960809,0.009999999999999896,6.574550935812135,5.818546101913989,7.33055576971028,5.574550935812099,0.3857167519888493,4.818546101913955,6.330555769710244,14.45244705361735
